codigo;filial;rota;m-4;m-3;m-2;m-1;forecast;estoque_in;estoque_livre;compras;transferencias;estoque_total;cmv
140574;1009;1009;0;0;0;0;0;0;0;0;0;0;0
140574;1001;1001;0;0;0;0;0;0;0;0;0;0;0
140597;1003;1003;0;0;0;0;0;0;0;0;0;0;0
140597;1001;1001;0;0;0;0;0;0;0;0;0;0;0
140641;1023;1036->1023;0;0;0;0;0;1;1;0;0;1;19.35
140641;1010;1010;0;0;0;0;0;0;0;0;0;0;0
140641;1009;1009;0;0;0;0;0;0;0;0;0;0;0
140641;1003;1036->1003;0;0;0;0;0;0;0;0;0;0;0
140641;1002;1002;0;0;0;0;0;1;1;0;0;1;19.42
140641;1001;1001;0;0;0;0;0;0;0;0;0;0;0
140727;1023;1036->1023;5;0;0;0;0;0;0;0;0;0;0
140727;1006;1006;0;0;0;0;0;9;9;0;0;9;47.31
140727;1002;1002;0;0;0;0;0;3;3;0;0;3;48.39
140728;1036;1036;0;0;0;0;0;2;2;0;0;2;27.69
140728;1021;1021;0;0;0;0;0;8;8;0;0;8;27.69
140728;1006;1006;0;0;0;15;0;0;0;0;0;0;0
140728;1002;1002;0;0;0;0;0;2;2;0;0;2;27.69
140729;1036;1036;0;0;0;0;0;12;12;0;0;12;41.7
141089;1006;1006;0;0;0;0;0;24;24;0;0;24;0
141275;1036;1036;105;4;32;60;53;2;1;1;0;3;22.8
141275;1024;1010->1024;0;0;0;0;0;0;0;0;0;0;0
141275;1023;1036->1023;2;11;0;0;4;4;4;0;0;4;22.8
141275;1021;1002->1021;0;0;0;0;0;0;0;0;0;0;0
141275;1015;1015;0;0;0;0;0;0;0;0;0;0;0
141275;1010;1010;55;0;22;11;5;1;1;1;0;2;25.54
141275;1009;1009;0;0;0;0;0;0;0;0;0;0;0
141275;1006;1036->1006;1;11;10;80;8;0;0;2;0;2;0
141275;1003;1003;0;0;0;0;0;0;0;0;0;0;0
141275;1002;1002;0;0;0;0;0;0;0;0;0;0;0
141275;1001;1001;0;0;0;0;0;0;0;0;0;0;0
141299;1030;1003->1030;2;0;0;0;0;0;0;0;0;0;0
141823;1036;1036;0;10;1;40;4;710;710;600;0;1310;48.94
141823;1021;1021;0;0;0;0;0;40;40;0;0;40;49.44
141823;1010;1010;10;10;430;940;566;4;4;630;0;634;49.71
